Establishment,Civil,Criminal,Both_Count
"District and Sessions Judge, North, RHC",1,,1
"Chief Metropolitan Magistrate, North-East, KKD",,14,14
"Chief Metropolitan Magistrate, North-West, RHC",,3,3
"Chief Metropolitan Magistrate, Shahdara, KKD",,1,1
"Chief Metropolitan Magistrate, South, Saket",,11,11
"District and Sessions Judge, South , Saket",1,,1
"Chief Metropolitan Magistrate, South-East , Saket",,7,7
"Senior Civil Judge cum RC, West, THC",1,,1
"Chief Metropolitan Magistrate, South-West DWK",,12,12
"Chief Metropolitan Magistrate, Central, THC",,2,2
"Chief Metropolitan Magistrate, Rouse Avenue",,7,7
"District and Sessions Judge, Central, THC",8,,8
"Senior Civil Judge cum RC, Central, THC",6,,6
"Chief Metropolitan Magistrate, New Delhi, PHC",,5,5
"Senior Civil Judge cum RC, New Delhi, PHC",1,,1
Total :,,,638
